ENSG	HUGO	GAF	GENCODE
ENSG00000036448	MYOM2	MYOM2|9172	ENSG00000036448.9
ENSG00000036473	OTC	OTC|5009	ENSG00000036473.6
ENSG00000036530	CYP46A1	CYP46A1|10858	ENSG00000036530.8
ENSG00000036549	ZZZ3	ZZZ3|26009	ENSG00000036549.12
ENSG00000036565	SLC18A1	SLC18A1|6570	ENSG00000036565.14
ENSG00000036672	USP2	USP2|9099	ENSG00000036672.15
ENSG00000036828	CASR	CASR|846	ENSG00000036828.13
ENSG00000037042	TUBG2	TUBG2|27175	ENSG00000037042.8
ENSG00000037241	RPL26L1	RPL26L1|51121	ENSG00000037241.7
ENSG00000037280	FLT4	FLT4|2324	ENSG00000037280.15
ENSG00000037474	NSUN2	NSUN2|54888	ENSG00000037474.14
ENSG00000037637	FBXO42	FBXO42|54455	ENSG00000037637.10
ENSG00000037749	MFAP3	MFAP3|4238	ENSG00000037749.11
ENSG00000037757	MRI1	MRI1|84245	ENSG00000037757.13
ENSG00000037897	METTL1	METTL1|4234	ENSG00000037897.16
ENSG00000037965	HOXC8	HOXC8|3224	ENSG00000037965.5
ENSG00000038002	AGA	AGA|175	ENSG00000038002.8
ENSG00000038210	PI4K2B	PI4K2B|55300	ENSG00000281501.1
ENSG00000038219	BOD1L1	BOD1L|259282	ENSG00000038219.12
ENSG00000038274	MAT2B	MAT2B|27430	ENSG00000038274.16
ENSG00000038295	TLL1	TLL1|7092	ENSG00000038295.7
ENSG00000038358	EDC4	EDC4|23644	ENSG00000038358.14
ENSG00000038382	TRIO	TRIO|7204	ENSG00000038382.17
ENSG00000038427	VCAN	VCAN|1462	ENSG00000038427.15
ENSG00000038532	CLEC16A	CLEC16A|23274	ENSG00000038532.14
ENSG00000038945	MSR1	MSR1|4481	ENSG00000038945.14
ENSG00000039068	CDH1	CDH1|999	ENSG00000039068.18
ENSG00000039123	SKIV2L2	SKIV2L2|23517	ENSG00000039123.15
ENSG00000039139	DNAH5	DNAH5|1767	ENSG00000039139.9
ENSG00000039319	ZFYVE16	ZFYVE16|9765	ENSG00000039319.16
ENSG00000039523	RIPOR1	FAM65A|79567	ENSG00000039523.17
ENSG00000039537	C6	C6|729	ENSG00000039537.13
ENSG00000039560	RAI14	RAI14|26064	ENSG00000039560.13
ENSG00000039600	SOX30	SOX30|11063	ENSG00000039600.10
ENSG00000039650	PNKP	PNKP|11284	ENSG00000039650.9
ENSG00000039987	BEST2	BEST2|54831	ENSG00000039987.6
ENSG00000040199	PHLPP2	PHLPP2|23035	ENSG00000040199.18
ENSG00000040275	SPDL1	CCDC99|54908	ENSG00000040275.16
ENSG00000040341	STAU2	STAU2|27067	ENSG00000040341.17
ENSG00000040487	PQLC2	PQLC2|54896	ENSG00000040487.12
ENSG00000040531	CTNS	CTNS|1497	ENSG00000040531.14
ENSG00000040608	RTN4R	RTN4R|65078	ENSG00000040608.13
ENSG00000040633	PHF23	PHF23|79142	ENSG00000040633.12
ENSG00000040731	CDH10	CDH10|1008	ENSG00000040731.10
ENSG00000040933	INPP4A	INPP4A|3631	ENSG00000040933.15
ENSG00000041353	RAB27B	none	ENSG00000041353.9
ENSG00000041357	PSMA4	PSMA4|5685	ENSG00000041357.15
ENSG00000041515	MYO16	MYO16|23026	ENSG00000041515.15
ENSG00000041802	LSG1	LSG1|55341	ENSG00000041802.10
ENSG00000041880	PARP3	PARP3|10039	ENSG00000041880.14
ENSG00000041982	TNC	TNC|3371	ENSG00000041982.14
ENSG00000041988	THAP3	THAP3|90326	ENSG00000041988.15
ENSG00000042062	RIPOR3	FAM65C|140876	ENSG00000042062.11
ENSG00000042088	TDP1	TDP1|55775	ENSG00000042088.13
ENSG00000042286	AIFM2	AIFM2|84883	ENSG00000042286.14
ENSG00000042304	C2orf83	C2orf83|56918	ENSG00000042304.10
ENSG00000042317	SPATA7	SPATA7|55812	ENSG00000042317.16
ENSG00000042429	MED17	MED17|9440	ENSG00000042429.10
ENSG00000042445	RETSAT	RETSAT|54884	ENSG00000042445.13
ENSG00000042493	CAPG	CAPG|822	ENSG00000042493.15
ENSG00000042753	AP2S1	AP2S1|1175	ENSG00000042753.11
ENSG00000042781	USH2A	USH2A|7399	ENSG00000042781.12
ENSG00000042813	ZPBP	ZPBP|11055	ENSG00000042813.7
ENSG00000042832	TG	TG|7038	ENSG00000042832.11
ENSG00000042980	ADAM28	ADAM28|10863	ENSG00000042980.12
ENSG00000043039	BARX2	BARX2|8538	ENSG00000043039.6
ENSG00000043093	DCUN1D1	DCUN1D1|54165	ENSG00000043093.13
ENSG00000043143	JADE2	PHF15|23338	ENSG00000043143.20
ENSG00000043355	ZIC2	ZIC2|7546	ENSG00000043355.10
ENSG00000043462	LCP2	LCP2|3937	ENSG00000043462.11
ENSG00000043514	TRIT1	TRIT1|54802	ENSG00000043514.15
